Drug,Model/Source,Cl (mL/kg/min),V1 (L/kg),V2 (L/kg),V3 (L/kg),Q2 (mL/kg/min),Q3 (mL/kg/min),k10 (min^-1),k12 (min^-1),k21 (min^-1),k13 (min^-1),k31 (min^-1),t1/2 elim (min),t1/2 fast (min),t1/2 slow (min),ke0 (min^-1),CSHT50 10m (min),CSHT50 1h (min),CSHT50 4h (min),CSHT50 8h (min),Effect 80% 1h (min),Effect 50% 1h (min),Effect 25% 1h (min)
Propofol,"Schnider et al., Anesthesiology 1998/1999",30.0,0.2,1.8,2.0,500.0,400.0,0.15,2.5,0.28,2.0,0.2,4.62,0.28,2.49,0.26,45.04,83.71,90.21,90.95,29.81,94.41,189.69
Dexmedetomidine,Ebert/Talke 2000; Iirola 2011 (Anesthesiology),9.0,0.2,1.0,1.5,200.0,200.0,0.04,1.0,0.2,1.0,0.13,15.4,0.69,3.46,0.28,64.2,179.3,200.98,204.43,54.62,198.44,410.57
Fentanyl,"Shafer et al., Anesthesiology 1990/1991",13.0,0.25,1.7,2.0,120.0,100.0,0.05,0.48,0.07,0.4,0.05,13.33,1.44,9.82,0.11,1.62,134.17,190.74,200.42,30.75,178.3,400.21
Hydromorphone,Rose 1996 BJA; Lötsch 2002 Clin Pharmacokinet,8.0,0.3,1.5,2.0,100.0,80.0,0.03,0.33,0.07,0.27,0.04,25.99,2.08,10.39,0.07,2.2,192.68,292.92,311.24,71.49,302.3,644.84
Remifentanil,"Minto et al., Anesthesiology 1997",40.0,0.1,0.5,0.8,150.0,120.0,0.4,1.5,0.3,1.2,0.15,1.73,0.46,2.31,0.59,7.92,20.74,22.2,22.21,4.9,22.87,50.67
Alfentanil,"Scott & Stanski, Anesthesiology 1987–1990",6.0,0.3,1.2,1.5,100.0,80.0,0.02,0.33,0.08,0.27,0.05,34.65,2.08,8.32,0.46,2.9,237.81,318.44,332.75,16.08,254.32,610.76
Methadone,Ferrari 2004 Anesthesiology; Eap 2002 Clin Pharmacokinet,1.5,0.4,2.0,3.0,50.0,40.0,0.0,0.12,0.03,0.1,0.01,184.8,5.54,27.72,0.02,3.84,140.06,1724.68,2093.52,1367.15,3085.78,5620.35
Rocuronium,Miller’s Anesthesia; Magorian/Bevan 1993 Anesthesiology,5.0,0.2,1.0,1.5,100.0,80.0,0.02,0.5,0.1,0.4,0.05,27.72,1.39,6.93,0.14,2.27,257.5,344.03,359.46,58.31,318.27,702.4
Vecuronium,Miller’s Anesthesia; Magorian/Bevan 1993 Anesthesiology,4.0,0.2,1.0,1.5,80.0,60.0,0.02,0.4,0.08,0.3,0.04,34.65,1.73,8.66,0.1,2.18,281.43,418.0,443.32,60.17,383.63,864.4
Succinylcholine,Miller’s Anesthesia; standard pharmacology texts,20.0,0.2,0.8,1.0,200.0,150.0,0.1,1.0,0.25,0.75,0.15,6.93,0.69,2.77,1.39,27.06,61.31,67.06,67.57,13.63,62.88,135.63
Midazolam,Miller’s; clinical PK/PD literature (adult),9.0,0.15,1.2,1.5,160.0,120.0,0.06,1.07,0.13,0.8,0.08,11.55,0.65,5.2,0.07,7.19,171.02,207.4,213.4,97.44,250.88,477.14
Diazepam,Miller’s; clinical PK/PD literature (adult),0.5,0.5,2.5,3.0,50.0,40.0,0.0,0.1,0.02,0.08,0.01,693.0,6.93,34.65,0.02,4.72,232.51,5698.81,6940.92,2906.36,8573.84,16932.06
