Drug,Class,Cl (L/kg/min),V1 (L/kg),V2 (L/kg),V3 (L/kg),Q2 (L/kg/min),Q3 (L/kg/min),k10 (min^-1),k12 (min^-1),k21 (min^-1),k13 (min^-1),k31 (min^-1),t1/2 elim (min),t1/2 fast (min),t1/2 slow (min),CSHT50 10m (min),CSHT50 1h (min),CSHT50 4h (min),CSHT50 8h (min),ke0 (min^-1),Effect 80% 1h (min),Effect 50% 1h (min),Effect 25% 1h (min)
Propofol,Sedative/Hypnotic,0.026571,0.061,0.27,3.4,0.018429,0.011943,0.4356,0.3021,0.0683,0.1958,0.0035,1.59,2.29,10.16,1.27,1.91,2.39,2.86,0.26,0.86,2.67,5.33
Etomidate,Sedative/Hypnotic,0.014,0.15,0.3,1.2,0.02,0.01,0.093,0.133,0.067,0.067,0.008,2.11,19.89,153.27,1.69,2.53,3.16,3.79,0.3,5.36,2.31,0.95
Ketamine,Sedative/Hypnotic,0.02,0.25,0.5,1.5,0.03,0.015,0.08,0.12,0.06,0.06,0.01,2.37,21.77,134.71,1.89,2.84,3.55,4.26,0.25,6.44,2.77,1.14
Dexmedetomidine,Alpha-2 agonist,0.012857,0.357143,0.5,1.428571,0.014286,0.008571,0.036,0.04,0.0286,0.024,0.006,19.25,17.33,24.26,15.4,23.1,28.88,34.66,0.277,0.81,2.5,5
Midazolam,Benzodiazepine,0.008571,0.142857,0.714286,1.428571,0.011429,0.007143,0.06,0.08,0.016,0.05,0.005,11.55,8.66,43.32,9.24,13.86,17.33,20.79,0.073,3.06,9.5,18.99
Diazepam,Benzodiazepine,0.000429,0.285714,1.428571,7.142857,0.002857,0.001429,0.0015,0.01,0.002,0.005,0.0002,462.1,69.31,346.57,369.68,554.52,693.15,831.78,0.018,12.4,38.51,77.02
Fentanyl,Opioid,0.000643,0.185714,0.342857,4.8,0.005,0.001857,0.0035,0.0269,0.0146,0.01,0.0004,200.24,25.75,47.53,160.19,240.29,300.36,360.44,0.114,1.96,6.08,12.16
Hydromorphone,Opioid,0.005,0.15,0.35,1.2,0.01,0.005,,,,,,,,,,,,,0.2,,,
Remifentanil,Opioid,0.041429,0.072857,0.132857,0.165714,0.028571,0.015714,0.5686,0.3922,0.2151,0.2157,0.0948,1.22,1.77,3.22,0.98,1.46,1.83,2.19,0.595,0.38,1.16,2.33
Sufentanil,Opioid,0.000357,0.214286,0.428571,5.714286,0.004286,0.001429,0.0017,0.02,0.01,0.0067,0.0003,415.89,34.66,69.31,332.71,499.07,623.83,748.6,0.12,1.86,5.78,11.55
Alfentanil,Opioid,0.014286,0.2,0.342857,1.428571,0.017143,0.007143,0.0714,0.0857,0.05,0.0357,0.005,9.7,8.09,13.86,7.76,11.64,14.56,17.47,0.456,0.49,1.52,3.04
Rocuronium,NMBA,0.005,0.142857,0.357143,0.571429,0.011429,0.007143,0.035,0.08,0.032,0.05,0.0125,19.8,8.66,21.66,15.84,23.77,29.71,35.65,0.14,1.59,4.95,9.9
Vecuronium,NMBA,0.004,0.142857,0.314286,0.571429,0.01,0.006429,0.028,0.07,0.0318,0.045,0.0112,24.76,9.9,21.78,19.8,29.71,37.13,44.56,0.1,2.23,6.93,13.86
Cisatracurium,NMBA,0.002857,0.128571,0.285714,0.5,0.008571,0.005714,0.0222,0.0667,0.03,0.0444,0.0114,31.19,10.4,23.1,24.95,37.43,46.79,56.14,0.12,1.86,5.78,11.55
Pancuronium,NMBA,0.002571,0.171429,0.428571,0.714286,0.008571,0.005714,0.015,0.05,0.02,0.0333,0.008,46.21,13.86,34.66,36.97,55.45,69.31,83.18,0.08,2.79,8.66,17.33
Succinylcholine,NMBA,0.02,0.2,0.285714,0.428571,0.021429,0.014286,0.1,0.1071,0.075,0.0714,0.0333,6.93,6.47,9.24,5.55,8.32,10.4,12.48,1.2,0.19,0.58,1.16
Lidocaine,Local anesthetic,0.015714,0.171429,0.571429,1.428571,0.021429,0.014286,0.0917,0.125,0.0375,0.0833,0.01,7.56,5.55,18.48,6.05,9.07,11.34,13.61,0.25,0.89,2.77,5.55
Bupivacaine,Local anesthetic,0.003571,0.142857,0.714286,2.857143,0.011429,0.007143,0.025,0.08,0.016,0.05,0.0025,27.73,8.66,43.32,22.18,33.27,41.59,49.91,0.15,1.49,4.62,9.24
Phenylephrine,Vasoactive,0.017143,0.214286,0.357143,0.714286,0.017143,0.011429,0.08,0.08,0.048,0.0533,0.016,8.66,8.66,14.44,6.93,10.4,13,15.6,0.4,0.56,1.73,3.47
Ephedrine,Vasoactive,0.005714,0.285714,0.857143,1.714286,0.01,0.007143,0.02,0.035,0.0117,0.025,0.0042,34.66,19.8,59.41,27.73,41.59,51.99,62.38,0.06,3.72,11.55,23.1
Epinephrine,Vasoactive,0.021429,0.171429,0.357143,0.571429,0.021429,0.014286,0.125,0.125,0.06,0.0833,0.025,5.55,5.55,11.55,4.44,6.65,8.32,9.98,0.8,0.28,0.87,1.73
Dobutamine,Vasoactive,0.014286,0.214286,0.428571,0.714286,0.014286,0.01,0.0667,0.0667,0.0333,0.0467,0.014,10.4,10.4,20.79,8.32,12.48,15.6,18.71,0.3,0.74,2.31,4.62
Dopamine,Vasoactive,0.012857,0.228571,0.428571,0.785714,0.012857,0.008571,0.0563,0.0563,0.03,0.0375,0.0109,12.32,12.32,23.1,9.86,14.79,18.48,22.18,0.2,1.12,3.47,6.93
Milrinone,Vasoactive,0.002857,0.285714,1,2.142857,0.007143,0.004286,0.01,0.025,0.0071,0.015,0.002,69.31,27.73,97.04,55.45,83.18,103.97,124.77,0.03,7.44,23.1,46.21
Vasopressin,Vasoactive,0.004286,0.171429,0.357143,0.571429,0.008571,0.005714,0.025,0.05,0.024,0.0333,0.01,27.73,13.86,28.88,22.18,33.27,41.59,49.91,0.05,4.46,13.86,27.73
