Drug,Class,Cl (L/kg/min),V1 (L/kg),V2 (L/kg),V3 (L/kg),Q2 (L/kg/min),Q3 (L/kg/min),ke0 (min^-1)
Propofol,Sedative/Hypnotic,0.026571,0.061,0.27,3.4,0.018429,0.011943,0.26
Etomidate,Sedative/Hypnotic,0.011,0.15,0.35,1.2,0.012,0.008,0.2
Ketamine,Sedative/Hypnotic,0.017,0.25,0.5,1.5,0.015,0.01,0.15
Dexmedetomidine,Alpha-2 agonist,0.012857,0.357143,0.5,1.428571,0.014286,0.008571,0.277
Midazolam,Benzodiazepine,0.008571,0.142857,0.714286,1.428571,0.011429,0.007143,0.073
Diazepam,Benzodiazepine,0.000429,0.285714,1.428571,7.142857,0.002857,0.001429,0.018
Fentanyl,Opioid,0.000643,0.185714,0.342857,4.8,0.005,0.001857,0.114
Remifentanil,Opioid,0.041429,0.072857,0.132857,0.165714,0.028571,0.015714,0.595
Sufentanil,Opioid,0.000357,0.214286,0.428571,5.714286,0.004286,0.001429,0.12
Alfentanil,Opioid,0.014286,0.2,0.342857,1.428571,0.017143,0.007143,0.456
Rocuronium,NMBA,0.005,0.142857,0.357143,0.571429,0.011429,0.007143,0.14
Vecuronium,NMBA,0.004,0.142857,0.314286,0.571429,0.01,0.006429,0.1
Cisatracurium,NMBA,0.002857,0.128571,0.285714,0.5,0.008571,0.005714,0.12
Pancuronium,NMBA,0.002571,0.171429,0.428571,0.714286,0.008571,0.005714,0.08
Succinylcholine,NMBA,0.02,0.2,0.285714,0.428571,0.021429,0.014286,1.2
Lidocaine,Local anesthetic,0.015714,0.171429,0.571429,1.428571,0.021429,0.014286,0.25
Bupivacaine,Local anesthetic,0.003571,0.142857,0.714286,2.857143,0.011429,0.007143,0.15
Phenylephrine,Vasoactive,0.017143,0.214286,0.357143,0.714286,0.017143,0.011429,0.4
Ephedrine,Vasoactive,0.005714,0.285714,0.857143,1.714286,0.01,0.007143,0.06
Epinephrine,Vasoactive,0.021429,0.171429,0.357143,0.571429,0.021429,0.014286,0.8
Dobutamine,Vasoactive,0.014286,0.214286,0.428571,0.714286,0.014286,0.01,0.3
Dopamine,Vasoactive,0.012857,0.228571,0.428571,0.785714,0.012857,0.008571,0.2
Milrinone,Vasoactive,0.002857,0.285714,1,2.142857,0.007143,0.004286,0.03
Vasopressin,Vasoactive,0.004286,0.171429,0.357143,0.571429,0.008571,0.005714,0.05
Etomidate,Sedative/Hypnotic,0.011,0.15,0.35,1.2,0.012,0.008,0.2
Ketamine,Sedative/Hypnotic,0.017,0.25,0.5,1.5,0.015,0.01,0.15
