drug,k10_min^-1,k12_min^-1,k21_min^-1,k13_min^-1,k31_min^-1,V1_mL_per_kg
propofol,0.1214912281,0.2236842105,0.1101511879,0.1140350877,0.0094890511,228.0
etomidate,0.140625,0.671875,0.2009345794,0.109375,0.01,64.0
ketamine,0.0594405594,0.0629370629,0.0315236427,0.013986014,0.0026666667,286.0
dexmedetomidine,0.3333333333,1.3333333333,0.0930232558,0.2666666667,0.0088888889,30.0
midazolam,0.0256,0.06,0.0214285714,0.016,0.0022222222,250.0
diazepam,0.015,0.0716666667,0.1673151751,0.0183333333,0.02,600.0
fentanyl,0.1333333333,0.4166666667,0.0625,0.1666666667,0.0033333333,60.0
hydromorphone,0.037500001,0.0749999984,0.0166666663,0.020000001,0.005714286,285.714286
remifentanil,0.4615384615,0.3846153846,0.1666666667,0.1538461538,0.0285714286,65.0
sufentanil,0.0399999992,0.0479999996,0.0079999999,0.0119999992,0.0006,357.142857
alfentanil,0.0071111111,0.0158730156,0.0095238093,0.0047619044,0.0014285713,900.0
methadone,0.0073255814,0.2520000001,0.0721438082,0.1054883721,0.0046859504,307.142857
rocuronium,0.04,0.25,0.0666666667,0.0625,0.0125,80.0
vecuronium,0.0497560958,0.0497560958,0.0643939369,0.0092682937,0.0022624437,146.428571
cisatracurium,0.125,0.25,0.1666666667,0.05,0.0444444444,40.0
pancuronium,0.015,0.08,0.0666666667,0.02,0.0666666667,100.0
succinylcholine,30.0,5.0,2.5,0.5,0.1,10.0
lidocaine,0.02,0.02,0.01,0.01,0.0033333333,500.0
bupivacaine,0.025000003,0.0799999969,0.0159999994,0.049999999,0.0025,142.857143
phenylephrine,0.0799999994,0.0799999994,0.0479999996,0.0533333314,0.0159999994,214.285714
ephedrine,0.020000001,0.035,0.0116666667,0.0249999995,0.0041666666,285.714286
epinephrine,0.1249999978,0.1249999978,0.0599999988,0.0833333319,0.0249999995,171.428571
dobutamine,0.0666666654,0.0666666654,0.0333333326,0.0466666667,0.014,214.285714
dopamine,0.0562500005,0.0562500005,0.0300000003,0.0375000018,0.0109090915,228.571429
milrinone,0.0100000005,0.0249999995,0.007142857,0.014999999,0.0019999999,285.714286
vasopressin,0.0249999984,0.0500000026,0.0240000012,0.0333333351,0.0100000005,171.428571
